company,ticker,exchange,date,analyst_name,question,suggested_label,label
JPMorgan Chase & Co.,JPM,NYSE,2024-12-10,Marianne Lake,"Yeah. So, the sort of honest answer on tightening as we always are, we're always adjusting everything at the margin in response to what we see in very specific pockets. And so, we talked, I think, over the course of the last several years that there was some tightening. Across asset classes, there was a little bit of negative selection. Principally, you've seen it in auto, in subprime auto most notably, a little bit also in credit card. I would say we expected some or most of that, but the whole industry and we were no exception, were tightening at the margin throughout 2022 and 2023 in response to where we saw pockets of underperformance or deterioration in both card and in auto. Still kind of marginal, obviously. So, card is the elephant in the room as it relates to loss drivers and it's coming in line exactly with our expectations in 2024. And to the degree that we would look forward and expect there to be any changes, it's going to be driven by macro factors. So, unemployment or balances more so than we're seeing any kind of performance issues in the portfolio. There was a lot of noise, noise isn't really the right word. There was a lot of discussion around auto, I think, in the sort of September conference circuit. The reality in auto is that there were a couple of inches that were that performed less well. Mostly, we expected that, and so it was priced in and in our expectations. A little bit, it was worse than our expectations, but we saw it really fast and pull back really hard. And it's a very small percentage of what we do, so it's made no substantial difference to our outlook. I think to the degree that others were more concentrated and or adjusted less quickly, it had a bigger impact. We don't see that as being a read across to any kind of more broad deterioration. Home lending is clean. And so, I would say the only place where we're seeing pockets of underperformance right now that's a little newer is in the small business card and small dollar lending portfolio for us. But I would characterize it a little bit more of an expansion in our risk appetite than deterioration. So, we're watching that closely, and we are tightening there. It's not something that I'm concerned about at this point. But if I was to say that there's anything that we've seen a little bit more recently, it would be there.",Alarmed,
Spotify Technology S.A.,SPOT,NYSE,2024-11-12,Daniel Ek,"I think it's early days, but I do believe we turn a corner and are back to growth again on the MAU side. And I'm happy about that because I wasn't happy about us missing the prior forecast. So it feels like we've got a good grip of it now. Now, as it relates to what do we do to make that happen, the reality is it's a bunch of different things, but the chief among them is really product improvements. So, lots of small tweaks that have been driving good results. Things in the past that's probably weren't smart, we've reversed. We've added new things as well. All that's created the backdrop of stronger engagement, which then translates to more MAU. Then as you mentioned, on the marketing side, we have improved there too. So we have spent a little bit more on marketing. Now it's important to add why didn't we do that prior. Well, we didn't do that because we weren't seeing efficiency. So as we're seeing more efficiency, i.e., the SAC to LTV ratio that Christian spoke about, then we are happy to spend. Why wouldn't we be? So the team has been working on a bunch of those things. And if we see great opportunities with great SAC to LTV ratios, we will pursue them. If nothing else, the core will be about improving engagement on the product, improving efficiency on marketing.",Alarmed,
GEE Group Inc.,JOB,NYSE,2024-12-20,A - Derek Dewan,"So the first question that we have is, at what price would you start buying back stock? We are approaching net cash value on the company. So the answer to that is we constantly evaluate alternative uses of our capital. And the question is very relevant at these levels of our trading. The comment was you could be buying cash back at a discount. And it's kind of interesting, we're trading about at our cash level right now on a market cap basis. The Board of Directors and senior management have had discussions regarding capital allocation. And my response to that is: stay tuned. I think that we will move forward as appropriate and do our capital allocation. We have enough cash and liquidity to do a lot. We do want to protect our balance sheet as well as we get out of these rough times. And we anticipate a more favorable economic environment for our business going forward. Political climate is better for us in terms of labor laws and rules. And we look forward to restoring profitability. So the buyback is definitely something we consider, and stay tuned regarding it and our M&A activity, and hopefully, restoration of profitability in the near term. Another question is, The company has grown in size over the years since 2015? Quite frankly, in 2015 when we took over the company, the company was ready to be delisted, had heavy debt, was losing money. We turned the corner, had several great years of profitability, made strategic acquisitions, built the company up, and performed quite well over a period of years. We ran into a rough spot during COVID. But we were able to last through COVID and come out of that pretty good. I think we're kind of in the same situation now and are looking for the same type of recovery post-deal. The question two is: What happened to results industry versus your results? We were geared -- we had about 18% -- 13% to 18% perm, in that range. And we had a perm year in 2022 that was a record. Permanent placements is the first part of our staffing business that would get hit when there's a hiring freeze or a downturn or perceived economic weakness in our economy. Also project work would be put on hold for fear of the unknown. And there's been a lot of pauses and continuing IT projects, engaging in new ones and so forth. We're starting to see that change and we're very optimistic over a period of months that we will get back to where we were before. Why is the company less profitable? As I said, during COVID versus now? The difference is, during COVID, that was a force that was layered upon a good economy. And business continued mostly remote as we had almost 100% remote workers at that time. And in particular, the IT business was very robust with projects that had started and continued because that could be done remotely, and the perm business was pretty solid. Despite that, they were perming -- firm hires and putting them remote. So it was an interesting dynamic. And we flew out of the 2020 malaise of COVID into 2021 and 2022 with very good years, and the first part of 2023 was outstanding relative. But we started to see that weakness, as we said earlier, in the middle, latter part of 2023, that's continued into 2024. Optimism for 2025 is out there. Industry leaders feel that way. And we share that sentiment. It will be a gradual process, but we're very excited about moving forward. But we will also adjust our income statement based on the current revenue to restore profitability and, of course, look for new business, new business from existing customers, new clients, and, of course, make strategic acquisitions, and then reexamine our capital allocation strategy. Another question, Kim, this one is for you. What is the quarterly annual revenue level to achieve breakeven results? What is the annual revenue level needed to generate $5 million to $10 million in EBITDA as you were not too long ago? That's an outstanding question and something we look at regularly. Kim, go ahead and take this.",Alarmed,
Ark Restaurants Corp.,ARKR,NASDAQ,2024-12-17,Jeffrey Kaminski,"Right. Okay. All right. Fair enough. And then second question, with respect to -- Mike, you had mentioned twice in this call, the stock price going back to when you negotiated the Tampa deal. And with respect to these write-offs, these impairment charges, again, tied into the stock price. Labor costs are what they are, they may have stabilized, but I don't see them. You may really disagree on and going down considerably. Insurance costs may stabilize maybe they won’t, but again I don’t see them coming down. So some of these headwinds exist in the future regardless. Food prices will be volatile, cost of crab, again, volatile. A question I have asked recurring here on these calls, as a shareholder, the share price -- it's hard to benchmark Ark Restaurants against other stocks, but there is a risk on ETF, there are restaurant and leisure indexes, if you will. By any benchmark, Ark stock has dramatically underperformed in years. So you talked about trying to acquire other properties. Right now, that doesn't seem to be happening. There was -- introduced to us probably six months ago, a new concept, the Asian concept that you're working on three months ago. You gave us a progress report. I asked then, if it's successful, what do you expect in terms of revenues and how you've been scaling up? Just looking for some tidbits here as to -- as a shareholder, what's going to drive the stock higher? What are we waiting for? I mean, are you waiting for another acquisition? Or we waiting for the Asian concept to keep up? Or do we think we're going to wake up one day and all of a sudden, labor costs are going to be down and insurance is going to be down? Just give us a little color and guidance as to what we can expect as shareholders?",Alarmed,
"Sunstone Hotel Investors, Inc.",SHO,NYSE,2024-11-12,Bryan Giglia,"Morning, Duane. Okay, so when we did the update in October, that was confined purely to the labor impact in San Diego. We didn’t provide anything else on the portfolio at that time because we were still within closing up the quarter and not seeing where everything was at that point. So that was that update. And Maui did underperform in Q3 and it continued into Q4 – and continues into Q4. And though it’s overall just a general leisure pickup has been slower in this market than some of the other markets. And when you look across the portfolio, our group is firing on all cylinders. Our business transient is doing very well. Leisure is kind of hit and miss where wine country, we’re seeing very promising results. And in other markets like Maui, Key West occupancy is there, but it’s a rate sensitive, it’s become a little bit more rate sensitive of market and Maui has struggled over the last couple of quarters. There is no relief business in there and we fully lapped that over last year. And so that’s not impacting anything now. The positive that we’ve seen in Maui, a couple things. One is that group picks up and group picks up very strong next year. We have some decent group in the fourth quarter, but 2025 and we’ve talked about this before, there’s a large group that’s on-island for two years and then off-island and this was an off-island year. So our group pace is very strong next year. The state of Hawaii has been putting money into some promotional campaigns for to promote Maui post-fire. We’re looking for to continue to do that. We’re getting great help from the brands and other distribution channels to help bring business back in there. The biggest positive we’ve seen recently is we’ve seen airline flights and seats declined steadily over or been down for over a year now. For the month of December where we’d actually seen that switch and so seats and flights are up about 5% and that mainly coming from the west coast. But that’s the biggest feeder market for Maui. And so that’s a big positive where we’ve seen, we actually see more lift going into the island. And I think where that’s – for the month of December, where that’s translated to is we’ve seen festive, very strong, festive is up, room nights significantly, rate is down. But it does allow the hotel to fill and allow the hotel to fill and do a few things, one, it gives it upsell opportunities. It has ancillary spending that’s very high at that hotel. And so total revenue is up for festive, room nights are up. And layering on top of that, our very strong pace for next year, gives us a lot more optimism as we look at Maui going forward.",Alarmed,
Assured Guaranty Ltd.,AGO,NYSE,2024-11-12,Giuliano Bologna,"That's helpful. And maybe one last one. But looking at the TMS exposure, as most of the exposures are very low coupons and very long dated. I think obviously, you're only ensuring the time in pain principal interest. So the MTV factor there has a huge benefit that's on your side. I'm curious if there -- because of that duration in both coupon dynamic, if there could be anything similar to the old Cofina exposures or things like that or you might have the ability at some point to consider loss situation. But I realize that you probably have to see a lot more weakness flow through before that would even become something to consider?",Alarmed,
Wave Life Sciences Ltd.,WVE,NASDAQ,2024-11-12,Q - Joon Lee,"Congrats on the progress and thanks for taking our questions. Looking down the road for INHBE, how do you envision registration trial to differentiate INHBE from GLP-1s from a labeling perspective? Specifically, at obesity, we clearly shared post op analysis of SURMOUNT-1, which showed about 11% mean body mass loss. How concerning is that from an ADL standpoint? And is that something the FDA may be noticing as a potential safety concern? Thank you.",Alarmed,
UP Fintech Holding Limited,TIGR,NASDAQ,2024-11-12,Emma Xu,"[Foreign Language] So, congratulations on achieving the guidance ahead of schedule. The market conditions have been favorable since October, so could you please share the run rate for asset, for AUM, trading volume, revenue and profit, et cetera, since October? And on a quarter-over-quarter basis, the growth rate of your revenue exceeds that of profit without regard to the impairment losses of around US$13.2 million in the second quarter. So, how do you view the improvement in the operating efficiency and leverage?",Alarmed,
Truist Financial Corporation,TFC,NYSE,2024-11-09,Terence McEvoy,"Maybe one more, just a question on credit, losses in consumer have stabilized and even come down in certain portfolios. So, how is the health of your consumer portfolio, and any specific areas of concern?",Alarmed,
Sezzle Inc.,SEZL,NASDAQ,2024-11-09,Charlie Youakim,"I think it’s less about like a weakness sign. That’s why we have on Slide 15 at the bottom, controlled expansion, optimized top line growth with no deterioration in Sezzle’s core customers. We wanted to provide that kind of proxy for delinquencies because we’re not seeing any deterioration. And if you saw customers spending too much, like needing the product, you’d see a deterioration. I think the reason we’re seeing increased utilization from our existing customers or customers in our business is because we’re providing better products than our competitors. I think we’re providing products that are stickier. The customers like it. They like our product. They like using it. And so instead of using a competitive product out there, they’re preferring to come back to ours. I think that’s really the key. Because I think, Nico, I think you’d see deterioration if they were weakened financially and just coming to us because they needed it is, I guess, the point.",Alarmed,
