company,ticker,exchange,date,analyst_name,question,label
JPMorgan Chase & Co.,JPM,NYSE,2024-12-10,Marianne Lake,"Yeah. So, the sort of honest answer on tightening as we always are, we're always adjusting everything at the margin in response to what we see in very specific pockets. And so, we talked, I think, over the course of the last several years that there was some tightening. Across asset classes, there was a little bit of negative selection. Principally, you've seen it in auto, in subprime auto most notably, a little bit also in credit card. I would say we expected some or most of that, but the whole industry and we were no exception, were tightening at the margin throughout 2022 and 2023 in response to where we saw pockets of underperformance or deterioration in both card and in auto. Still kind of marginal, obviously. So, card is the elephant in the room as it relates to loss drivers and it's coming in line exactly with our expectations in 2024. And to the degree that we would look forward and expect there to be any changes, it's going to be driven by macro factors. So, unemployment or balances more so than we're seeing any kind of performance issues in the portfolio. There was a lot of noise, noise isn't really the right word. There was a lot of discussion around auto, I think, in the sort of September conference circuit. The reality in auto is that there were a couple of inches that were that performed less well. Mostly, we expected that, and so it was priced in and in our expectations. A little bit, it was worse than our expectations, but we saw it really fast and pull back really hard. And it's a very small percentage of what we do, so it's made no substantial difference to our outlook. I think to the degree that others were more concentrated and or adjusted less quickly, it had a bigger impact. We don't see that as being a read across to any kind of more broad deterioration. Home lending is clean. And so, I would say the only place where we're seeing pockets of underperformance right now that's a little newer is in the small business card and small dollar lending portfolio for us. But I would characterize it a little bit more of an expansion in our risk appetite than deterioration. So, we're watching that closely, and we are tightening there. It's not something that I'm concerned about at this point. But if I was to say that there's anything that we've seen a little bit more recently, it would be there.",Alarmed
Helen of Troy Limited,HELE,NASDAQ,2024-07-09,Peter Grom,"Okay. That's really helpful. And then just maybe two quick follow-ups. Just on the outdoor declines, can you maybe just talk about the channel more broadly? A lot of the commentary seems to be concentrated in packs rather than weakness across the entire channel, but I'm not sure if that's a fair read or not. And then on Hydro Flask, you mentioned you're disappointed with North America performance, maybe could you unpack that a bit more? Is that a function of category softness? Or are you seeing share losses versus some of the brands in the category. Thanks.",Alarmed
Amdocs Limited,DOX,NASDAQ,2024-11-12,Tal Liani,"I normally don't give compliments to management teams on the call, but I want to give you a compliment for the transparency and great detail in your presentation. Very clear. But now comes the tough question. You pay for it now. I want to continue the last question in a different angle. So if I remove the 600 million, I'm still at the same growth rate of last year, which means, and that's the midpoint, which means the environment. So I assume, I just assumed that the 600 million didn't have a high growth rate. So that means the core business is x the 600 million is likely continuing the same weakness of last year. And the question is about the spending environment. I don't have, I don't think looking at your presentation, which is excellent and understanding what you're doing. I don't think we had any concerns whatsoever with what you offer with your portfolio, with your added value, but we do have a concern over the spending environment. So can you take us through what happened in 2024, meaning how the environment deteriorated? What have you seen in 2024 and your expectations for 2025 when it comes to the spending environment, to the willingness of customers to spend money on these kinds of projects and what changes the current weakness that we're seeing?",Alarmed
Spotify Technology S.A.,SPOT,NYSE,2024-11-12,Daniel Ek,"I think it's early days, but I do believe we turn a corner and are back to growth again on the MAU side. And I'm happy about that because I wasn't happy about us missing the prior forecast. So it feels like we've got a good grip of it now. Now, as it relates to what do we do to make that happen, the reality is it's a bunch of different things, but the chief among them is really product improvements. So, lots of small tweaks that have been driving good results. Things in the past that's probably weren't smart, we've reversed. We've added new things as well. All that's created the backdrop of stronger engagement, which then translates to more MAU. Then as you mentioned, on the marketing side, we have improved there too. So we have spent a little bit more on marketing. Now it's important to add why didn't we do that prior. Well, we didn't do that because we weren't seeing efficiency. So as we're seeing more efficiency, i.e., the SAC to LTV ratio that Christian spoke about, then we are happy to spend. Why wouldn't we be? So the team has been working on a bunch of those things. And if we see great opportunities with great SAC to LTV ratios, we will pursue them. If nothing else, the core will be about improving engagement on the product, improving efficiency on marketing.",Alarmed
ORIX Corporation,IX,NYSE,2024-11-11,Naruhiko Sakamaki,"Yes. It's Sakamaki from Mizuho Securities. I have 1 question. So the asset, the credit status of your assets, I would like to confirm. So data book on Page 27 or 28. Using this, if you could respond, that will be helpful. So the concerns that I have are the allowance for the credit loss from end of June, we can see the trend. But as you explained in the U.S., the credit, you're very prudent in provisioning and perhaps there are some concerns. So why did your concern come down since then?",Alarmed
News Corporation,NWSA,NASDAQ,2024-11-09,Entcho Raykovski,"Hi, Robert. Hi, Susan. Before I ask my questions, Susan, all the best for life after News Corp. So my question is really two-fold. Firstly, looking at advertising at Dow Jones, it has suffered and it's underperformed some peers. I mean, you obviously acknowledged some of the weakness and I get that it's a smaller part of the segment, but are there any business-specific issues or factors which are causing this and what is your thinking around when we might see a recovery? And just secondly, the Foxtel shareholder loans, I think I can probably say that there has been a more recent repayment. Are you able to give us an indication of where they sit now post that repayment, and apologies if I missed this. Thank you.",Alarmed
Citigroup Inc.,C,NYSE,2024-07-12,Mike Mayo,"Hi. Could you elaborate more on the amended consent order? Jane, you said it was disappointing to have gotten that this week. It's almost four years into the consent order. And a little bit why it hasn't been resolved? And what's on the -- that's the loss column, and maybe a little bit more on the win column, too. I mean you have, what, 12,000 people thrown at the problem, billions of dollars. Is it not enough people? Not enough money? Is it -- do you need to look at it in a different way? Are you not talking the same language? I mean, you have John Dugan as your Lead Independent Director, exit of the OCC, and it seems like you got your report card, I guess you passed overall, they went out of the way to say some nice things, but it looks like you got failing grades and data and regulatory management. So, your confidence is going to be resolved, but it's already been four years and it hasn't been resolved. So, what is it going to take from here? And how can you resolve the regulatory concerns while continuing or serving shareholders better? And then, in the win column, since it's so nebulous this back-office, what are you achieving? You mentioned some items, but you could put more meat on those bones? Thanks.",Alarmed
"PepsiCo, Inc.",PEP,NASDAQ,2024-07-11,Kevin Grundy,"Great, thanks. Good morning, everyone. Covered a lot of ground, and not to beat a dead horse, but just to drill down a couple of areas, Ramon, if we could on the demand weakness in snack. So you mentioned some parts of the portfolio, but not all consumers. I apologize if I missed this. What are you seeing beyond the low income consumer? It's a lot of focus on where's the consumer and depends on which management call you're listening to or what industry frankly. What are you seeing specifically with the middle and high-end consumer? Is the weakness also being seen among that cohort as well? And then I think an important question as well, is there anything you're seeing in your market research? I know you're staying close to the consumer that gives you any pause with the longer term outlook for the Frito business, which has been so strong for so long. Is there anything there that kind of gives you pause or you do this to be entirely transitory? So thanks for that.",Alarmed
GEE Group Inc.,JOB,NYSE,2024-12-20,A - Derek Dewan,"So the first question that we have is, at what price would you start buying back stock? We are approaching net cash value on the company. So the answer to that is we constantly evaluate alternative uses of our capital. And the question is very relevant at these levels of our trading. The comment was you could be buying cash back at a discount. And it's kind of interesting, we're trading about at our cash level right now on a market cap basis. The Board of Directors and senior management have had discussions regarding capital allocation. And my response to that is: stay tuned. I think that we will move forward as appropriate and do our capital allocation. We have enough cash and liquidity to do a lot. We do want to protect our balance sheet as well as we get out of these rough times. And we anticipate a more favorable economic environment for our business going forward. Political climate is better for us in terms of labor laws and rules. And we look forward to restoring profitability. So the buyback is definitely something we consider, and stay tuned regarding it and our M&A activity, and hopefully, restoration of profitability in the near term. Another question is, The company has grown in size over the years since 2015? Quite frankly, in 2015 when we took over the company, the company was ready to be delisted, had heavy debt, was losing money. We turned the corner, had several great years of profitability, made strategic acquisitions, built the company up, and performed quite well over a period of years. We ran into a rough spot during COVID. But we were able to last through COVID and come out of that pretty good. I think we're kind of in the same situation now and are looking for the same type of recovery post-deal. The question two is: What happened to results industry versus your results? We were geared -- we had about 18% -- 13% to 18% perm, in that range. And we had a perm year in 2022 that was a record. Permanent placements is the first part of our staffing business that would get hit when there's a hiring freeze or a downturn or perceived economic weakness in our economy. Also project work would be put on hold for fear of the unknown. And there's been a lot of pauses and continuing IT projects, engaging in new ones and so forth. We're starting to see that change and we're very optimistic over a period of months that we will get back to where we were before. Why is the company less profitable? As I said, during COVID versus now? The difference is, during COVID, that was a force that was layered upon a good economy. And business continued mostly remote as we had almost 100% remote workers at that time. And in particular, the IT business was very robust with projects that had started and continued because that could be done remotely, and the perm business was pretty solid. Despite that, they were perming -- firm hires and putting them remote. So it was an interesting dynamic. And we flew out of the 2020 malaise of COVID into 2021 and 2022 with very good years, and the first part of 2023 was outstanding relative. But we started to see that weakness, as we said earlier, in the middle, latter part of 2023, that's continued into 2024. Optimism for 2025 is out there. Industry leaders feel that way. And we share that sentiment. It will be a gradual process, but we're very excited about moving forward. But we will also adjust our income statement based on the current revenue to restore profitability and, of course, look for new business, new business from existing customers, new clients, and, of course, make strategic acquisitions, and then reexamine our capital allocation strategy. Another question, Kim, this one is for you. What is the quarterly annual revenue level to achieve breakeven results? What is the annual revenue level needed to generate $5 million to $10 million in EBITDA as you were not too long ago? That's an outstanding question and something we look at regularly. Kim, go ahead and take this.",Alarmed
Soho House & Co Inc.,SHCO,NYSE,2024-12-19,Steven Zaccone,"Congratulations on the offer. Maybe, Thomas, could we just talk through some of the last commentary you gave there about the guidance change. So it sounds like $21 million reduction in EBITDA, approximately half of that we should think is onetime in nature as we think about next year? And then just on the cadence of like-for-like sales. When you talked about some of that weakness in October and then things got better in November, was there notable differences by region, like was it primarily continued weakness in the US underperforming? Any geographical comment would be helpful there.",Alarmed
